Hindi,Mundari
विधानसभा एक अत्यंत भव्य तथा प्रभावशाली भवन में स्थित थी।,विधानसभा मियद साड.गीगे सुगाड़ा ओड़ो प्रभावशाली मराड.लेेका ओड़ारे ( भवनरे ) तिड.गुअकन ताइकेना।
परन्तु धीरे-धीरे उसे महसूस हो गया।,मेन्दो एना को मड़ि मड़ि ते अटकर केदा।
तब स्वामी जी ने स्वपन्न में श्री राम कृष्ण जी को देखा।,एन लो'गे स्वामी कुमुते श्री रामकृष्ण के लेल किआ।
उसका मुझे भनक तक नहीं हुआ ।,एना राः ठोरो बानोः ।
एक एक बार होटलों में गिलास घोते हुए दिखती और अपना बच्चा को तो होटले के पीछे सुला देती थी,मिसा मिसा दो होटेल कोरे गिलास को गसर तनेञ लेलीआ आद होन दो कुंडम साःरेः गितिः तइआ।
यह लम्बी कहानी मानी जा सकती है।,नेया जिलिड. कानि मानातिड. दाड़िओआ।
उन्होंने लिखा है कि उन्होंने ‘अमृत महोत्सव’ के कार्यक्रम देखे और तय किया कि वो भी स्वाधीनता संग्राम से जुड़े कम-से-कम 10 स्थानों पर जाएंगे।,इनिः ओल केदा चि इनिः ‘अमृत महोत्सव’ रेअः कार्यक्रम लेल केदा ओड़ोः उड़ुः केटेः केदाए चि इनिः ओ स्वाधीनता संग्राम ते जुड़वा कन 10 टयद रे सेनोओःअ।
"पिछले दिनों, गाँधी नगर में ‘COP – 13 convention’, जिसमें इस विषय पर काफी चिंतन हुआ, मनन हुआ, मन्थन भी हुआ और भारत के प्रयासों की काफी सराहना भी हुई।","(सेने जन) तायोम दिन, गांधी नगर रे 'COP-13 convention', एनारे ने विषय रे काफी उडु जना, मनातिङा होबा जना, मन्धनओ होबा जना आर भारत रआ प्रयास रआः वेसे सरहनाओ होबा जना।"
"दरअसल, जोरसिंग गाँव में इसी महीने, स्वतन्त्रता दिवस के दिन से 4G internet की सेवाएँ शुरू हो गई हैं।","मेनदो जोरसिंग हातु रे नेया चांडु, रंनड़ा दिनकि रेअ: मअ रे फोरजि इनटरनेट रअ: सेवा देंगा एटेअ:कना ।"
"यानी, पूरब से चलकर पश्चिम तक देश को जोड़ रहे हैं।",यानी चि सिगि तुरोःते सेनकेते सिगि हसुरोः मुलि दिसुम को जोड़ाओ जदा।
"सिर्फ इसलिए कि कुछ लोग उन समूह में वैसे हैं, पूरे समूह के बारे में ऐसी राय बनाना वाजिब नहीं है","नेअ बइरि मेनते चि गोंट रेन हुड़िङ लेका होड़ोको एनका मेनाकोआ, सोबेन होड़ों कोवा: बारे नेका उड़ु जोगाव का बुगिना।"
मुक्केबाज़ी में युवा खिलाड़ी आकाश गोरखा ने सिल्वर मेडल जीता।,मुक्केबाजी रे युवा खिलाड़ी आकाश गोरखा सिल्वर मेडलए जीतओ जना।
"इस शताब्दी में जन्मे युवा, बढ़-चढ़ कर, राष्ट्रीय विचार-प्रवाह में अपनी भागीदारी निभा रहे हैं।",नेया शताब्दी रे जन्मा कन दंगड़ा को अयर तेको बढ़ाव तनअ: राष्ट्रीय विचार - प्रवाह रे अपना जिमेदारी को पुरा जदा।
कोलकाता में बहुत जगह ले लिए।,कलकता रे बेस टॉव एसेर जना।
मैं आप सभी को इन पर्वों की हार्दिक बधाई देता हूँ।,अइञ् अपे सोबेन को ने पोरोब रेअः इसु पुरअः बधाई ओमापे तना।
"5. छोड़ो लंगन, उनको छोड़ दो, आदमी का खून गंध करता है,","5. नोचो, लंगन, बगेतइमे; नोड़ो मयोम सोअनेगेअ;"
मैं तो उन लोगों के तरफ का पुराना मेहमान हॅू।,अइङ दो इनकु सअ: रेन पुरना कुपुलगे।
राजधानी अपने पुराने ढर्रे पर आने लगी थी।,राजधानी आएआः सिदा लेकारेः रे हिजुःतानेःताइकेना।
इसके बाद दुरगा के आंगन पहुंचने पर जोर से बोलने लगा-चलो दरवाजा खोलो।,"एनते दुरगा रचा तेबअ केचिइ ककलाजदा, मर, दुआर निअइङमे  |"
"आपको लगता है, इसमें क्या नई बात है?आये होंगे लोग ! जी नहीं! बहुत कुछ नया है।",अयेम टोर जदा दंग नेओरे चना नवा जगर तना? हिजा काना कोजा होड़ो को! हे कागे! पुरा हो नदा तना।
"वे लोग तम्बाकू खाने के बाद, फिर से दूसरा गीत गाना शुरू किये।","इनकु दो तमकु जोमकेद्ते, ओड़ोःगे एटअः दुरङको एटेःकेदा।"
इनके लिए रात के समय कोई कानून निकालने से ही दुरुस्त होंगे।,निकिङ मेनते निदा दिपिलि जान अइन उड़ुङलेरे एनङकिङ कबुउःअ ।
जल  देवता के नाम से काला मुर्गा चाहे काला भेड़ा का पूजा किया जाता है।,इकिर बोंगाः लुतुम तेदो हेदे सनडि कारेदो  हेन्दे मिंडी को बोंगाइआ।
इसके बाद सभी हंसने लगे और रूटा ने कहा-इसी तरह प्रदेश में एक न एक आदमी को मूर्ख बनने से बनता है।,"एनते सोबेनको लनदाकेदा, अद् रुटा मेनकेदा, एनकागे दिसुमरे मिद् होड़ो कारे मिद् होड़ो दो डोनडोकोःरे एनङ बइओअ ।"
एक जंगल में एक मैना रहती थी।,मिअद् बिर रे मिअद् मैना तइनो तन तइकेना।
"इन सबको जिम्मा करने के बाद, मानकी बोला-ये हमारे सेलदा मुण्डा भाईयों और कुदासूद् मुण्डा भाइ्र्रयों,मेरे कहने की तरह ही आप लोगों ने सब पूरा किया।","एनाको जिमाकेद्ते तयोमते, मंड़कि जगरकेदा, अच तबु सेलदः मुनडा हगाको ओड़ोः कुदासूद मुनडा हगाको, अइङ कजिकेद् लेकागे सोवेनःपे पुराकेदा।"
"जिसमें खान-पान से लेकर वेशभूषा तक, हर बात में पारंपरिक नियमों का पालन किया जाता है।","ओकनअः को जोम-नू कोवाते उयुन तुसिंडेन सनतेद, सोबेन जगर कोवाते संसकिर दस्तुर रेअः सेसेन तना।"
Clay Mixing से लेकर Final Packaging तक सारे काम स्वयं किए।,हसा मेसा आते अखिरी उत्पाद जकेद् अको गे सोबेन कमि केदा।
8. चेंड़ेम लेल ज:इअ?,चिंड़ियाँ को देख पाते हो?
उसने सोचा कि इसीसे वह मुझे रातदिन गाली देती है।,एनाते लेल जदा चि आयागाः कुड़ि दो सेता लेकाए लेलोओ तना।
"लोमबा - मालूम होने पर भी, क्या क्या है सो ज्ञात होगा।","लोमबा - टो' रअकनरेओ, जगरलेरे एनङ चिलका चिलका मेनेअः-दो मुनडिओअ ।"
"लोक गीत में बहुत ही अच्छा अंलकार, इस गीत में है।","मारि दुराड. रेआ इसु गे माजा अलंकार, ने दुराड. रे मेनाःं"
25 अप्रैल से 13 मई 2015 तक नेपाल में 202 भूकंप के झटके आ चुके हैं।,25 अप्रैल अते 13 मई 2015 जकेद् नेपाल रे बर सौ बर (202) साः ओते एकेला जना।
"उसने नमक कर, विदेशों में भारतीय मजदूरों के साथ होने वाले बर्ताव तथा भारतीयों के कामों में दखलअंदाजी करने वाले वन प्रशासन की वजह से वनवासियों की बढ़ती मुसीबतों के बारे में बहुत सारे प्रस्ताव पारित किए।","इनि बुलुड. कर, एटअः दिशुम कोरे भारतरेन कमिनला तनको लोःते होबाओतन कजि-कमिको रे चा भारतरेन कोअः कमि कोरे बलयोतन बिर रइज चलवतन कोअः करणते बिर रे तईतनकोअः सद्व कोरअः बारे रे इसु सोबेन प्रस्तावको पास केदा।"
मथुरा - दिवानी का आवेदन इस बार ही पेश करें या फिर एक बार आना पड़ेगा ?,मतुरा - देवानि रअः दरकस नेसेकनगेबु अदेरेअ चि ओड़ोः मिसा हिजुः होबओअ ?
"मेरे लिए आज दो फायदा हुआ, जिस बात के लिए मैं आया था वह हो गया और पीने के लिए मद्य भी खूब मिला।",अइञअ: दो तिसिङ बरिअ नफा होबाजना; ओको जगर मेनतेङ हिजुःलेना एना होबाजना ओड़ोः इलिओ पोकोतोगेङ नमअना ।
दिन-रात जब समय पर खाना खाते हैं तब भूख क्या होती है इसका पता नहीं होता है वैसे ही सामान्य जीवन में लोकतंत्र के अधिकारों की क्या मज़ा है वो तो तब पता चलता है जब कोई लोकतांत्रिक अधिकारों को छीन लेता है।,"निदा-सिंगि ओको इमतङ सोमोए रे मंडि बं जोमतरा, इमतङ रेंगेः चनअः तना एना रअः अता-पता का तइना एना गे सोंगडा जिनिद रे लोकतंत्र रेअः हक को रेअः चनअः मजा मेनअः एना को दो इमतङ पता चलाओःअ ओको इमतङ लोकतांत्रिक हक अधिकारकोअ ते अतोमबुआ।"
जनसंख्या की गुणवत्ता अंततः देश की संवृद्धि-दर निर्धारित करती है।,होड़गनाति रअः गुणवता टुण्डु रे दिसुम रअः सम्वृद्धि दर उदुबेआए।
"प्रधानमंत्री जी:  जरा मुझे बताइए, कैसा अनुभव रहा ?","प्रधानमंत्री जी: कटि आञके उदुबाइङ मे, चिलका अटाकर केमा?"
मैं तो इसे देखा हूँ।,अञ् दो एनाइञ लेला कदा।
बच्चों की शिक्षा से जुड़े इस नेक काम में मदद करने के लिए स्थानीय लोग भी खूब आगे आ रहे हैं।,होन कोआ खेड़ा ते जुडाआ कान ने बुगिन कामि रे देगा मेनते स्थानीय होड़ो को खुउम आयर तेको हिजु तना।
जादुर राग में लोग गाए हैं।,जदुर रोड. रेको दुराड. तदा।
क्योंकि वे अधिक सहनशील और विनम्र होती हैं।,चिअ: चि पुरअ: सहतिङ ओड़ो दयालु को ताइना।
"यही पड़हा पत्थर तो, नया-नया से ही शुरू हुआ है।","नेअःगे पड़हा दिरि दो, नवा नवागे एटेःआकना।"
बुदु-‘‘ बहुत आवाज किया था।’’,"बुदु, ‘‘पुरअःगे हड़ाहुड़ुलेना।’’"
इन स्थानीय सरकारों के लिए नियमित ढंग से चुनाव भी नहीं कराए जाते थे।,ने स्थानीय सरकार कोअः नङ नियमित ढंग ते चुनावो का किाओः तन तइकेना।
"और इसीलिए देश, अपने लिए नहीं, एक पूरा चुनाव अपने हित के लिए नहीं, लोकतंत्र की रक्षा के लिए आहूत कर चुका था।","ओड़ोः एना मेनते दिसुम, अपनाअः नगेन का, मिअद गोटा चुनाव अपनाअः फायदा नङ मेनते का, लोकतंत्र रेअः रक्षा नगेन जी-होड़मो ओमाकद तइकेना।"
मुंडाओ के घर- गाँव में मुंडा परिवार और पाहन परिवार के लोगों ने ही गाँव घर बसाया।,मुंडा कोअ हातु दिसुम रे मुंडा खुंट आद् पांड़ा खुंट रेन होड़ो कोगे हातु दिसुम को बसा एटेंः लअः।
"हाँ, जरुर है क्यों नहीं?","हे, जरुडु मेनः चिअः क?"
"तभी 75 साल तक देश को यहां तक पहुंचाने में जिन-जिन लोगों ने योगदान दिया, उनका पुण्‍य स्‍मरण हमारे काम आयेगा।","तोबे 75 सिरमा सनते दिसुम के तेबा रे ओकोन-ओकोन होड़ोको योगदान तदा, इनकुअ: पुण्य पहम अबुअ: कमि हिजुअ:।"
"पेटर श्मिट्स गोमके गे ""आस्ट्रिक भाषा परिवार"" के ओड़ोः बरतअः रेएः हटिङ रूड़ाकदा ।",पेटर श्मिड्स महाशय ही ‘‘आसिट्क भाषा परिवार’’ के और दो भागों में पुनःविभक्त किये हैं।
"आज नई कृषि क्रांति, organic farming, blue revolution, sweet revolution, solar farming; ये नए दायरे खुल चुके हैं।","तिसिङ नवा कृषि क्रांति organic farming, blue revolution, sweet revolution, solar farming; को एटेःअ कना।"
लोग भी क्रिसमस की छुट्टियाँ मनाने जाते हैं।,होड़ोकोयो जोनोम पोरोब रेअः छुटि मनातिड. को सेना।
"आप बड़ा कार्य करने वाले हैं। सरकार और दिकू लोग आपके विरुद्ध में रहेंगे।""","आम मरङ कामिम रिकाएआ। सरकार आर दिकुको आमआः विरूद रेको ताइना ।"""
"पता नहीं, कितने देर तक में पूरा आदमी बन जाता ?",चिमतङते’ड़ोःए होड़ो चबाओअ?
वहां पर पांच बजे दिन में वे दोनों पहुंचे।,हनरे बसङ दअः सिगिकिङ तेबअःकेदा।
"हडु - सफेद घर कैसा है, हम दोनों भी एक बार देख लें।",हडु - पुनडि ओड़अः लड़इ चिलकःअ अलिङओ मोसालिङ मुनडि- लेका ।
"सरकार का काम बिगड़ रहा है, यह देखते ही जनता के बीच इसके विरोध चर्चा होनी चाहिये।","सरकाराः कामि ओंड़ाओः ताना मेनेआः , नेया लेलजालोः गे जनतारे एना राः बिरोध रे उकता  होबाओः लागातिङा।"
हड़ु - और तो अदा करने का उपाय नहीं दिख रहा है।,हड़ु - ओड़ोःदो हलोः रअः उपए का लेलोःतना ।
अब सारी प्रक्रिया फिर से शुरु होगी।,नाआः सोबेन कामि सिदा ते एटेगोआ।
(घ) “विशेष न्यायालय” से धारा 14 में विशेष न्यायालय के रूप में विनिर्दिष्ट कोई सेशन न्यायालय अभिप्रेत है ;,घ) विशेष न्यायालय रेआ धारा 14 रे विशेष न्यायालय रूप रे जोगाव सोतोआकन जान सेशन न्यायालय ते कजियाकना।
उन्होंने इसका वर्णन आत्मा तथा ब्रह्म अथवा सार्वभौम आत्मा के रूप में किया है।,इनकु नेआ: रेअः बरनिका रोवा ओड़ोः ब्रह्म च सार्वभौम रोवा रेअः मुटन रेको रिका कदा।
"मेद्सोबो, बुढ़िया इतना कहानी सुनाने के बाद सुकरू उससे कह रही है-‘‘ऐ, दादी, मानव बाघों की कहानी सुनाते सुनाते, बलुआओं के पहचान के बारे की कहानी की तरफ ले गयीं !","मेद्सोबोः बुड़िअ इमिनङ जकेद्ए का’निकेद्चि, सुकुरु मेतअइतना, ‘‘हेला, अजि, होड़ो कुलाकोअ का’नितन का’नितनदो, कपि सलाबड़ाएअ का’नितेम इदिकेद्लेअ!"
सरकार इसके कारणों को समझने के लिए और इस स्थिति का सकारात्मक निदान ढूँढ़ने के लिए वचनबद्ध है।,सरकार नेअ रअः कारण को बुजव नङ ओड़ोः ने स्थिति रेअः सकारात्मक निदान दंड़ा नङ वचनबद् मेनअःइ।
"पाँच गड्ढा छः गड्ढा सात गड्ढा चलो चलते हैं गड्ढा कोड़ने लौकी, कोंहड़ा, करेला सब रोपेंगे।",मोड़ेया गड़ा तुरिया गड़ा एआ गड़ा दो दोलाबु गड़ा बु उरेया/गड्या सुकु ककरू करला बु रोवाया।
"होड़ोमो रः मेनते हानि मेनः, इस ओन्डोरोअः ।","स्वास्थ्य के लिए हानिकारक है, कलेजा जलेगा।"
संसार के पुराने महर्षि के नाम से मैं आप लोगों को बहुत बहुत धन्यवाद देता हूँ और धर्मों की माता की तरह हिन्दु धर्म और अलग अलग सम्प्रदाय के लाखों करोड़ो हिन्दुओं की आरे से भी आप को धन्यवाद देता हुँ।,संसार रेन पुरना महर्षि (मुनि) कोआः नुतुमते आइङ आपेके धैनवाद ओमापे ताना आर धरम कोआ एंगा लेकानिःहिन्दू धरम ओड़ो बिनगा-बिनगा सम्प्रदाय रेन लाख-करोड़ लेका हिन्दू कोआ साःतेओ धैनवाद ओम जादाइङ ।
"मातृभूमि के स्वर्णिम भविष्य की उनकी परिकल्पनाएं अलग-अलग थीं परंतु न्याय, स्वतंत्रता, समता और बंधुता के मूल्यों ने उनके सपनों को एक सूत्र में पिरोने का काम किया।","मातृभूमि रेअः स्वर्णिम भविष्य रेअः इनकु उड़ुः बिनगा-बिनगा ताइकेना। मेनदो न्याय, स्वतंत्रता, समता ओड़ोः बंधुता रेअः गोनोङको  कुमु इनकुअः को मिद सुतम रे  गलङ रेअःको कामि लअः।"
दामु-कहीं पर भी हमने नहीं बनाया है।,दमु-जेतारे काले बइत्र्प्रकदा।
"मैं फिर एक बार, हमारे इन सभी खिलाड़ियों को बहुत-बहुत बधाई देता हूँ और आने वाले दिनों में भारत Paralympics के लिये भी, उसके विकास के लिये भी, एक सुचारु योजना बनाने की दिशा में आगे बढ़ रहा है।","आञ ओड़ो मिसा लेका, आबुआ ने सोबेन इनुङ तनको के पुरआ: - पुरआ: बधाई एमा कोआई ओड़ो: हिजु तन सोमोय कोरे भारत paralympics मेनते होओ, इनकुआ उबारेन रआ मेनते हो,मियद् सुचारु योजना बबाइ रआ दिशा रे अयर ते बढ़ावेन तना बु।"
"इतने भाई लोग सुनलीजिए, दुरगा को मैंने कहा था-आप दोनों दम्पति बातचीत कर लीजिए और फलना फलना दोनों से पूछके पहचान किया जाये।","नमिनङ हगाको अयुमतपे, दुरगाइङ मेनलिःअ, कुलगिअ जगरलेबेन अद् पलना पलनाकिङ आतेओ कुलि उरुमेबेन ।"
"जोजोहातु- हां बहना ! यह बेवकूफ, हमदोनों का कसूरों के बारे में कह रहे हैं, अपने को तो बिल्ली की तरह गड्ढा बनाकर दफना दे रहे हैं। ओहरी ! ओहरी चालाकी !","जोजोहतु - हे’, ना! ने हेरेल अलङअः कसुरदोए कजिजदा, अएअःदो पुसि लेकाए गोतअः तोपाजदा। ओहोरे! ओहोरे चलाकि!"
इसलिए यही तुम्हारे देश सा बन गया है।,एना मैनते नेअगे अमअः दिसुम लेका बइअकना।
कुड़ापुरति डोनडा से पूछ रही है-आप तो हाट गये थे।,"कुड़ापुरति डोनडाए कुलिजःइअ, अमदोम पीटिकेना।"
"सोम्बारी - हां दादी, मैंने ठीक से नहीं बोली।",सोमबारि - हे’अजि; अइङगे काइङ टउकातदा।
"एटः तेअ की क इरोःआ, बबा को समुं गे।","दूसरे प्रकार का काटा नहीं जाता है, सिर्फ फसल ही।"
इसके बाद बुढ़िया छोटी टोकरी पकड़ी।,एनते बुड़िअ मिदअ् टुपःए सब्केदा।
"रइगड़ा - तुम पोती, दूसरी बात कह रही हो, हमलोग शादी विवाह के बारे में बात कर रहे हैं।","रअगड़ा - अम दा, ना, एटअः कजिम कजितना; अड़नदि रअः दङबु जगरतना।"
सिनू बुढ़ा के घर मे एक बड़ा-सा बकरा था।,सिनू हड़माअ ओड़अ रे मियद मरंङ लेकान बकरा मेरोम तइ केना।
"इसके बाद वे तम्बाकू खाये और कुछ देर के बाद ओझा ने कहा- चलिए, अब, आपलोग तम्बाकू को थूक दीजिए और गीतों को गाया जाये।","एनतेदो तमकुको जोमकेदा; अद् देओंड़ा मेनकेदा हुड़िङ हेड़ा तयोमते, - मर, नाअःदो तमकु बेःगिड़ितपे अद् दुरङ उड़ुङओःका।"
"इतना ही नहीं,हीं एक नौजवान एक या दो तीन और लोगों को भी रोजगार दे रहा है।","निमिन बरिगे का, मियाद दंगड़ा मियाद,बरिआ चा अपिआ  दंगड़ा को रोजगारेए ओमको ताना।"
चलकद में बिरसा और कान का जन्म हुआ था।,चलकद रेगे बिरसा आर कानुआः जनम होबा लेना।
तो चलें पंचायत घर की ओर। उधर ही एक दो लोग मिलेंगे।,दोलङ तोबे एन पंचाइटि ओडाः साः तेगे। एनसाः रेगे मिअद बरिआ होड़ोको नमो:अ।
जल्दी ही आना जाना हो जाये ऐसा हमारा कहना है।,सेके-ड़ागे हिजुः सेनोगोःका मेनोःतना।
"जनसंख्‍या वृद्धि होती हो, जमीन कम होती जाती हो, तब हमारी कृषि को आधुनिक बनाना, वैज्ञानिक बनाना, technology के आधार पर आगे ले जाना; ये समय की मांग है।","होड़ोकोअः संख्या पोसाओः तना, ओते कोम इदिओः तना एनका रे अबुअः कृषि आधुनिक बइ, वैज्ञानिक बइ, technology लोःते अयर ते इदि, नेअ सोमय रेअः अनासि तनअः।"
"लेकिन फलना आदमियों का अग्रिम रूपया फलना फलना से काटा गया कहके लिखित हमलोगों को दीजिए और उन आदमियों को पकड़ने के लिए आदेश भी हमें दीजिए, इसके बाद ही हमलोग उनलोगों को पकड़ सकते हैं।’’","मेनदो पलना होड़ोअः ददिनि टका पलना पलना-कोएतेङ कटवतेदा मेनते ओमअलेम, अद् एन होड़ोको सब् मेनतेओ हुकुम ओलअलेम; एनतेले सब् दड़िअकोअ।”"
होन कोगे करोड़ होड़ो कोअः तो पेड़ेः तनको।,बच्चे ही करोड़ो आदमियों के बाहु बल हैं।
हम यह कै से सुनिश्‍चित करने वाले हैं कि प्रभावित क्षेत्र के सब परिवारों तक ओ.आर.एस. के पैकेट पहुँच जाएँ?,अबु चिलकाते बेसलेकातेबु उड़ुएअ प्रभावित क्षेत्ररेन सोबेन लेका परिवारको जकेद ओ. आर. एस रा. पैकेट तेबाओका ?
हम सीधे जाकर उनसे कहना चाहिए कि आप हमें बहुत तकलीफ दे रहे हैं।,अबु इनकु सोजे गेबु कजिआ कोआ चि अपे आले इसु पुराः पे बालाए जद लेआ।
"फिर भी, जैसा हमने देखा, घर के अंदर किए जाने वाले कार्यों को महत्त्वपूर्ण नहीं समझा जाता।","इमिन रेओ, चिलका अबु लेल जदा, ओड़अः बितार रे रिकाओ तन कमिको रेअः मनारङ कको बुजव तना।"
"स्मारक का डिजाईन, हमारे अमर सैनिकों के अदम्य साहस को प्रदर्शित करता है।","स्मारक रअः डिजाईन, आबुअः अमर पलटनकोअः अदम्य ड़िड़िगारको उदुबतना।"
दूसरी स्थिति में सिर्फ मैना होती थी।,एटाः स्थिति रे मैना बाआरि ताइकेनाएः।
"इसके साथ ही दुरगा ने कहा-चलो, हमदोनों के लिए दरवाजा खोलो, मैं,बेटा के साथ खड़ा हॅू।","एन लोःदो दुरगा मेनकेदा, दे ना, दुअर निःअलिङमे; अलिङ दङ होन लोः तिंगुअकना।"
"हो-‘‘अब तो शाम हो गयी है, आपदोनों यही पर ठहर जायें।’’","हो', ""नाअः दो अयुब्जना; नेरेगे डेरालेबेन।"""
उनके हुंकार से आसमान तक कांप उठा।,इनकुअः ककला ते सिरमा सनतेद् एकला जना।
लको - तुम्हारी बात को हम दोनों स्वीकार करेंगे; तुम तो बहुत दिन के आदमी हो; तुम ने बहुत जातियों की बात और काम बहुत बार देखे हैं।,"लको - अमअः कजिलिङ हे'तअः, मर; अम दो इसु दिनरेन होड़ो; इसु जतिकोअः कजि कमि पुरअःसाम लेलअकदा ।"
मागे मेला,मागे च बुरू
इसके बाद उस जगह पर वे बैठ गये।,एनते एनतअःरेको दुब् जना ।
"किसी ने कहा, ""ओटोंगा लोग शायद काटने के लिए लाठी से मार गिराया; लेकिन इसके चिल्लाने पर डर गये।""","ओकोए मेनजदा, ""ओनडोकाको जाअः हदी नङको दल बटिकिःअ; मेनदो नी ककलाकेतेको बोरोकेदा; ।"""
"बहुत ही रुपये लाया था, बनैले जानवरों के समान दो भैंसा खरीदे हैं, हिन्दू के समान पगड़ी, धोती पहन कर बाजारों में घूम फिरता है।",टका बुरतिगेए अउलअः; बरिअ जिलु होन लेकन केड़ाकिङए किरिङतद्किङअ; दिकु होन लेकागे बेद् दुतिअकनते पीटिकोरेए होनोरबड़ातना।
उनका मानना था कि इसी व्यवस्था को इस तरह फैलाया जाए कि उसमें ज्यादा से ज्यादा लोगों को पढ़ने के मौके मिलें।,इनकुआ विचार तईकेनाचि एना जुगुतु रेअः लेकनअ पसरव लगातिड.अ चि एनारे पुरअःते पुरअः होड़ोको पड़व मेनते मोका को नमे का।
